CODIGO,NOMBRE,CICLO,OBLIGATORIO,CREDITOS,H_TEORICAS,H_PRACTICAS,PREREQUISITO
HU0001502,COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS I,1,TRUE,4,3,2,
IN0001501,DESARROLLO DE COMPETENCIAS DIGITALES,1,TRUE,2,1,2,
IN2801601,DIBUJO CAD Y GEOMETRÍA DESCRIPTIVA,1,TRUE,3,1,4,
HU0001501,ESTRATEGIAS PARA EL APRENDIZAJE AUTÓNOMO,1,TRUE,3,3,0,
INF401601,FÍSICA DE LOS CUERPOS RÍGIDOS,1,TRUE,4,3,2,
INF401501,MATEMÁTICA,1,TRUE,4,3,2,
INF402601,CÁLCULO DIFERENCIAL DE UNA Y VARIAS VARIABLES,2,TRUE,4,2,4,MATEMÁTICA
HU0002502,CIUDADANÍA E INTEGRACIÓN DE LA PERSONA CON DISCAPACIDAD,2,TRUE,2,2,0,
HU0002501,COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS II,2,TRUE,4,3,2,COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS I
IN2802601,DIBUJO PARA INGENIERÍA,2,TRUE,3,1,4,DIBUJO CAD Y GEOMETRÍA DESCRIPTIVA
SA0002501,ECOLOGÍA Y DESARROLLO SOSTENIBLE,2,TRUE,3,2,2,
INF402602,FÍSICA DE LA MASA Y LA ENERGÍA,2,TRUE,4,3,2,FÍSICA DE LOS CUERPOS RÍGIDOS
INF403601,CÁLCULO INTEGRAL DE UNA Y VARIAS VARIABLES,3,TRUE,4,2,4,CÁLCULO DIFERENCIAL DE UNA Y VARIAS VARIABLES
IN2803602,ESTÁTICA PARA INGENIERÍA CIVIL,3,TRUE,4,3,2,FÍSICA DE LOS CUERPOS RÍGIDOS - CÁLCULO DIFERENCIAL DE UNA Y VARIAS VARIABLES
TE0003501,FILOSOFÍA,3,TRUE,3,3,0,
IN2803601,GEOLOGÍA APLICADA A LA INGENIERÍA CIVIL,3,TRUE,3,2,2,ECOLOGÍA Y DESARROLLO SOSTENIBLE
IN2803603,MATERIALES DE CONSTRUCCIÓN,3,TRUE,4,3,2,DIBUJO PARA INGENIERÍA
INF400601,QUÍMICA PARA INGENIEROS,3,TRUE,4,3,2,FÍSICA DE LA MASA Y LA ENERGÍA
TE0004501,ANTROPOLOGÍA FILOSÓFICA,4,TRUE,3,3,0,FILOSOFÍA
IN2804601,DINÁMICA,4,TRUE,3,2,2,ESTÁTICA PARA INGENIERÍA CIVIL - CÁLCULO INTEGRAL DE UNA Y VARIAS VARIABLES
INF404601,ECUACIONES DIFERENCIALES Y TRANSFORMADAS,4,TRUE,4,2,4,CÁLCULO INTEGRAL DE UNA Y VARIAS VARIABLES
IN2804701,MECÁNICA DE SUELOS Y ROCAS,4,TRUE,4,3,2,MATERIALES DE CONSTRUCCIÓN
IN2804603,RESISTENCIA DE MATERIALES I,4,TRUE,3,2,2,ESTÁTICA PARA INGENIERÍA CIVIL
IN2804702,TECNOLOGÍA DE LA CONSTRUCCIÓN I,4,TRUE,3,1,4,MATERIALES DE CONSTRUCCIÓN
IN2804602,TOPOGRAFÍA Y GEODESIA SATELITAL,4,TRUE,4,1,6,DIBUJO PARA INGENIERÍA - GEOLOGÍA APLICADA A LA INGENIERÍA CIVIL
IN2805601,ALGORITMOS Y PROGRAMACIÓN,5,TRUE,4,3,2,CÁLCULO INTEGRAL DE UNA Y VARIAS VARIABLES
INF400602,ESTADÍSTICA Y PROBABILIDADES,5,TRUE,4,3,2,CÁLCULO INTEGRAL DE UNA Y VARIAS VARIABLES
TE0005501,ÉTICA,5,TRUE,3,3,0,ANTROPOLOGÍA FILOSÓFICA
IN2805602,MECÁNICA DE FLUIDOS I,5,TRUE,3,1,4,DINÁMICA
INF405601,MÉTODOS NUMÉRICOS,5,TRUE,4,2,4,ECUACIONES DIFERENCIALES Y TRANSFORMADAS
IN2805702,RESISTENCIA DE MATERIALES II,5,TRUE,3,2,2,RESISTENCIA DE MATERIALES I
IN2805701,TECNOLOGÍA DE LA CONSTRUCCIÓN II,5,TRUE,3,2,2,TECNOLOGÍA DE LA CONSTRUCCIÓN I - TOPOGRAFÍA Y GEODESIA SATELITAL
TE0006501,FE Y CULTURA,6,TRUE,3,3,0,ÉTICA
IN2806702,FUNDAMENTOS DE ANÁLISIS ESTRUCTURAL,6,TRUE,4,3,2,RESISTENCIA DE MATERIALES II - MÉTODOS NUMÉRICOS
IN2806704,GEOTECNIA Y CIMIENTOS,6,TRUE,4,3,2,MECÁNICA DE SUELOS Y ROCAS
IN2806701,HIDROLOGÍA SUPERFICIAL Y SUBTERRÁNEA,6,TRUE,3,2,2,MECÁNICA DE FLUIDOS I
IN2806601,MECÁNICA DE FLUIDOS II,6,TRUE,4,3,2,MECÁNICA DE FLUIDOS I
IN2806703,TECNOLOGÍA DEL CONCRETO,6,TRUE,4,3,2,TECNOLOGÍA DE LA CONSTRUCCIÓN II - ESTADÍSTICA Y PROBABILIDADES
IN2807703,ANÁLISIS ESTRUCTURAL,7,TRUE,3,1,4,FUNDAMENTOS DE ANÁLISIS ESTRUCTURAL - ALGORITMOS Y PROGRAMACIÓN
IN2807704,CAMINOS I,7,TRUE,3,2,2,GEOTECNIA Y CIMIENTOS - HIDROLOGÍA SUPERFICIAL Y SUBTERRÁNEA
IN2807701,DISEÑO DE ESTRUCTURAS EN CONCRETO ARMADO I,7,TRUE,4,2,4,FUNDAMENTOS DE ANÁLISIS ESTRUCTURAL
IN2807705,INTEGRADOR I,7,TRUE,3,1,4,TECNOLOGÍA DEL CONCRETO - GEOTECNIA Y CIMIENTOS
IN2807601,METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA,7,TRUE,4,3,2,
TE0007501,MORAL CATÓLICA,7,TRUE,3,3,0,FE Y CULTURA
IN2807702,PRESUPUESTOS Y PROGRAMACIÓN DE OBRAS,7,TRUE,4,3,2,TECNOLOGÍA DE LA CONSTRUCCIÓN II
IN2808703,CAMINOS II,8,TRUE,3,2,2,CAMINOS I
IN2808701,DISEÑO DE ESTRUCTURAS EN CONCRETO ARMADO II,8,TRUE,4,2,4,DISEÑO DE ESTRUCTURAS EN CONCRETO ARMADO I
TE0008501,DOCTRINA SOCIAL DE LA IGLESIA,8,TRUE,3,3,0,MORAL CATÓLICA
IN2808702,INSTALACIONES EN EDIFICACIONES,8,TRUE,4,3,0,PRESUPUESTOS Y PROGRAMACIÓN DE OBRAS
IN2808601,INVESTIGACIÓN I,8,TRUE,4,3,2,METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA
IN2808704,PAVIMENTOS,8,TRUE,4,3,2,CAMINOS I
IN2809704,GESTIÓN DE LA CONSTRUCCIÓN BIM,9,TRUE,5,3,4,PRESUPUESTOS Y PROGRAMACIÓN DE OBRAS
IN2809703,IMPACTO AMBIENTAL EN OBRAS DE INGENIERÍA CIVIL,9,TRUE,4,3,2,CAMINOS II
IN2809705,INGENIERÍA DE AGUAS Y RESIDUOS SÓLIDOS,9,TRUE,4,3,2,INSTALACIONES EN EDIFICACIONES
IN2809702,INGENIERÍA SISMORRESISTENTE,9,TRUE,4,3,2,DISEÑO DE ESTRUCTURAS EN CONCRETO ARMADO II
IN2809601,INVESTIGACIÓN II,9,TRUE,3,2,2,INVESTIGACIÓN I
