CODIGO,NOMBRE,CICLO,OBLIGATORIO,CREDITOS,H_TEORICAS,H_PRACTICAS,PREREQUISITO
HU0001502,COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS I,1,TRUE,4,3,2,
IN0001501,DESARROLLO DE COMPETENCIAS DIGITALES,1,TRUE,2,1,2,
HU0001501,ESTRATEGIAS PARA EL APRENDIZAJE AUTÓNOMO,1,TRUE,3,3,0,
HU0201602,FUNDAMENTOS DE LA COMUNICACIÓN,1,TRUE,4,4,0,
HU0201601,LENGUAJE AUDIOVISUAL Y OPERACIÓN DE EQUIPOS,1,TRUE,3,2,2,
INF301501,MATEMÁTICA,1,TRUE,4,3,2,
HU0002502,CIUDADANÍA E INTEGRACIÓN DE LA PERSONA CON DISCAPACIDAD,2,TRUE,2,2,0,
HU0002501,COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS II,2,TRUE,4,3,2,COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS I
HU0202601,DINÁMICA DE LA COMUNICACIÓN SOCIAL,2,TRUE,4,4,0,FUNDAMENTOS DE LA COMUNICACIÓN
SA0002501,ECOLOGÍA Y DESARROLLO SOSTENIBLE,2,TRUE,3,2,2,
HU0202602,EXPRESIÓN ORAL Y HABILIDADES BLANDAS,2,TRUE,4,3,2,
HU0202603,FUNDAMENTOS DE LA FOTOGRAFÍA,2,TRUE,3,2,2,LENGUAJE AUDIOVISUAL Y OPERACIÓN DE EQUIPOS
HU0203702,ELEMENTOS DEL LENGUAJE RADIAL,3,TRUE,3,2,2,LENGUAJE AUDIOVISUAL Y OPERACIÓN DE EQUIPOS
TE0003501,FILOSOFÍA,3,TRUE,3,3,0,
HU0203602,GUION Y REDACCIÓN CREATIVA,3,TRUE,2,1,2,
HU0203601,PÚBLICOS Y CONTEXTOS SOCIALES,3,TRUE,3,2,2,DINÁMICA DE LA COMUNICACIÓN SOCIAL
HU0203604,REDACCIÓN PARA COMUNICADORES,3,TRUE,3,2,2,COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS II
HU0203603,TALLER DE CREATIVIDAD Y DISEÑO,3,TRUE,3,1,4,
HU0203701,TALLER DE FOTOGRAFÍA PERIODÍSTICA E ILUMINACIÓN,3,TRUE,2,1,2,FUNDAMENTOS DE LA FOTOGRAFÍA
TE0004501,ANTROPOLOGÍA FILOSÓFICA,4,TRUE,3,3,0,FILOSOFÍA
HU0204702,DISEÑO GRÁFICO DIGITAL,4,TRUE,4,2,4,TALLER DE CREATIVIDAD Y DISEÑO
HU0204601,FUNDAMENTOS DEL MARKETING EN LA COMUNICACIÓN,4,TRUE,3,2,2,PÚBLICOS Y CONTEXTOS SOCIALES
HU0204602,HISTORIA Y APRECIACIÓN CINEMATOGRÁFICA,4,TRUE,3,2,2,
HU0204703,NOTICIA Y ENTREVISTA,4,TRUE,4,2,4,REDACCIÓN PARA COMUNICADORES
HU0204701,PRODUCCIÓN DE FORMATOS RADIALES Y PODCAST,4,TRUE,4,2,4,ELEMENTOS DEL LENGUAJE RADIAL
HU0205703,CREATIVIDAD E INNOVACIÓN PUBLICITARIA,5,TRUE,3,2,2,
HU0205702,DISEÑO DE PROYECTOS AUDIOVISUALES,5,TRUE,4,3,2,GUION Y REDACCIÓN CREATIVA 
HU0205701,ESTRATEGIAS DE MARKETING,5,TRUE,3,2,2,FUNDAMENTOS DEL MARKETING EN LA COMUNICACIÓN 
TE0005501,ÉTICA,5,TRUE,3,3,0,ANTROPOLOGÍA FILOSÓFICA
HU0205705,REPORTAJES Y CRÓNICAS,5,TRUE,4,2,4,NOTICIA Y ENTREVISTA
HU0205704,TÉCNICAS E INSTRUMENTOS PARA LA INVESTIGACIÓN EN COMUNICACIÓN,5,TRUE,3,2,2,PÚBLICOS Y CONTEXTOS SOCIALES
HU0206703,COMUNICACIÓN CORPORATIVA INTERNA,6,TRUE,3,2,2,ESTRATEGIAS DE MARKETING
HU0206701,DESARROLLO DE CONTENIDOS DIGITALES,6,TRUE,3,2,2,
TE0006501,FE Y CULTURA,6,TRUE,3,3,0,ÉTICA
HU0206705,GÉNEROS DE OPINIÓN,6,TRUE,4,3,2,REPORTAJES Y CRÓNICAS
HU0206704,OBSERVACIÓN DE MEDIOS,6,TRUE,4,3,2,TÉCNICAS E INSTRUMENTOS PARA LA INVESTIGACIÓN EN COMUNICACIÓN
HU0206707,PERSONAL BRANDING,6,FALSE,2,1,2,
HU0206702,PRODUCCIÓN AUDIOVISUAL,6,TRUE,4,2,4,DISEÑO DE PROYECTOS AUDIOVISUALES
HU0206706,PROYECTOS DE FICCIÓN Y NO FICCIÓN,6,FALSE,2,1,2,
HU0207703,COMUNICACIÓN CORPORATIVA EXTERNA,7,TRUE,3,2,2,COMUNICACIÓN CORPORATIVA INTERNA
HU0207702,FOTOGRAFÍA CORPORATIVA Y PUBLICITARIA,7,TRUE,3,1,4,FUNDAMENTOS DE LA FOTOGRAFÍA
HU0207706,LABORATORIO DE PRODUCCIÓN DE CORTOMETRAJE,7,FALSE,2,1,2,
HU0207601,METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA,7,TRUE,4,3,2,TÉCNICAS E INSTRUMENTOS PARA LA INVESTIGACIÓN EN COMUNICACIÓN
TE0007501,MORAL CATÓLICA,7,TRUE,3,3,0,FE Y CULTURA
HU0207705,PERIODISMO DEPORTIVO,7,FALSE,2,1,2,
HU0207704,PERIODISMO EN TELEVISIÓN,7,TRUE,4,2,4,GÉNEROS DE OPINIÓN
HU0207701,PROYECTOS DE COMUNICACIÓN PARA EL DESARROLLO,7,TRUE,4,3,2,PÚBLICOS Y CONTEXTOS SOCIALES
TE0008501,DOCTRINA SOCIAL DE LA IGLESIA,8,TRUE,3,3,0,MORAL CATÓLICA
HU0208702,GESTIÓN DE PROYECTOS DE COMUNICACIÓN,8,TRUE,3,2,2,COMUNICACIÓN CORPORATIVA EXTERNA
HU0208602,INVESTIGACIÓN I,8,TRUE,4,3,2,METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA
JU0208601,LEGISLACIÓN DE LA COMUNICACIÓN SOCIAL,8,TRUE,3,3,0,
HU0208704,ORGANIZACIÓN DE EVENTOS Y PROTOCOLO,8,FALSE,2,1,2,
HU0208703,PERIODISMO DIGITAL,8,TRUE,4,2,4,PERIODISMO EN TELEVISIÓN
HU0208705,PRODUCCIÓN GRÁFICA Y MULTIMEDIA EN PERIODISMO,8,FALSE,2,1,2,
HU0208701,PROYECTOS DE NARRATIVAS TRANSMEDIA,8,TRUE,3,2,2,
HU0209701,COMMUNITY MANAGEMENT Y POSICIONAMIENTO SEO,9,TRUE,3,2,2,DESARROLLO DE CONTENIDOS DIGITALES
HU0209704,COMUNICACIÓN DE MODA Y ENTRETENIMIENTO,9,FALSE,2,1,2,
EM0209701,EMPRENDIMIENTO E INNOVACIÓN EN COMUNICACIÓN,9,TRUE,4,3,2,GESTIÓN DE PROYECTOS DE COMUNICACIÓN
HU0209703,GESTIÓN DE DISTRIBUCIÓN DE PRODUCTOS AUDIOVISUALES,9,FALSE,2,1,2,
HU0209601,INVESTIGACIÓN II,9,TRUE,3,2,2,INVESTIGACIÓN I
HU0209702,PRÁCTICA PREPROFESIONAL I,9,TRUE,6,2,8,GESTIÓN DE PROYECTOS DE COMUNICACIÓN
HU0210705,COMUNICACIÓN INTERNACIONAL,10,FALSE,2,1,2,
