CODIGO,NOMBRE,CICLO,OBLIGATORIO,CREDITOS,H_TEORICAS,H_PRACTICAS,PREREQUISITO
HU0001502,COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS I,1,TRUE,4,3,2,
IN0001501,DESARROLLO DE COMPETENCIAS DIGITALES,1,TRUE,2,1,2,
HU0001501,ESTRATEGIAS PARA EL APRENDIZAJE AUTÓNOMO,1,TRUE,3,3,0,
INF301501,MATEMÁTICA,1,TRUE,4,3,2,
HUF301601,PEDAGOGÍA Y MODELOS EDUCATIVOS,1,TRUE,3,2,2,
SAF301601,PSICOLOGÍA DEL DESARROLLO HUMANO,1,TRUE,4,3,2,
HU0002502,CIUDADANÍA E INTEGRACIÓN DE LA PERSONA CON DISCAPACIDAD,2,TRUE,2,2,0,
HU0002501,COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS II,2,TRUE,4,3,2,COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS I
SA0002501,ECOLOGÍA Y DESARROLLO SOSTENIBLE,2,TRUE,3,2,2,
HUF302601,INTERCULTURALIDAD Y EDUCACIÓN INCLUSIVA,2,TRUE,3,2,2,
SAF302601,NEUROEDUCACIÓN Y PROCESOS COGNITIVOS DEL NIÑO Y DEL ADOLESCENTE,2,TRUE,5,4,2,PSICOLOGÍA DEL DESARROLLO HUMANO
HUF302602,PROBLEMAS Y RETOS DE LA EDUCACIÓN PERUANA,2,TRUE,3,2,2,
HU1803603,DESARROLLO DE LA ACTITUD Y DEL PENSAMIENTO CIENTÍFICO,3,TRUE,3,2,2,
HU1803602,DIDÁCTICA DE LA EXPRESIÓN ORAL,3,TRUE,3,2,2,COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS II
SA1803702,DIFICULTADES Y TRASTORNOS DEL NEURODESARROLLO INFANTIL,3,TRUE,3,2,2,NEUROEDUCACIÓN Y PROCESOS COGNITIVOS DEL NIÑO Y DEL ADOLESCENTE
HU1803601,EDUCACIÓN TEMPRANA,3,TRUE,4,2,4,NEUROEDUCACIÓN Y PROCESOS COGNITIVOS DEL NIÑO Y DEL ADOLESCENTE
TE0003501,FILOSOFÍA,3,TRUE,3,3,0,
SA1803701,PREVENCIÓN DE EMERGENCIAS Y ENFERMEDADES EN LA INFANCIA,3,TRUE,2,1,2,
HUF303601,TEORÍA CURRICULAR,3,TRUE,3,2,2,PEDAGOGÍA Y MODELOS EDUCATIVOS
TE0004501,ANTROPOLOGÍA FILOSÓFICA,4,TRUE,3,3,0,FILOSOFÍA
HU1804702,DIDÁCTICA DE LOS LENGUAJES DEL ARTE EN LA INFANCIA,4,TRUE,3,2,2,
HU1804704,DIDÁCTICA PARA LA INICIACIÓN DE LA LECTOESCRITURA,4,TRUE,3,2,2,DIDÁCTICA DE LA EXPRESIÓN ORAL
HU1804701,EDUCACIÓN PSICOMOTRIZ Y EXPRESIÓN CORPORAL EN LA INFANCIA,4,TRUE,3,2,2,
HU1804602,PEDAGOGÍA DE LA DIVERSIDAD,4,TRUE,3,2,2,DIFICULTADES Y TRASTORNOS DEL NEURODESARROLLO INFANTIL
HU1804601,PLANIFICACIÓN CURRICULAR EN EL JARDÍN DE INFANTES,4,TRUE,4,3,2,TEORÍA CURRICULAR
HU1804703,TALLER DE ELABORACIÓN DE MATERIALES DIDÁCTICOS,4,TRUE,2,1,2,
HU1805703,DESARROLLO DEL PENSAMIENTO LÓGICO MATEMÁTICO,5,TRUE,3,2,2,MATEMÁTICA
HUF305601,DIAGNÓSTICO EDUCATIVO,5,TRUE,3,2,2,PROBLEMAS Y RETOS DE LA EDUCACIÓN PERUANA
TE0005501,ÉTICA,5,TRUE,3,3,0,ANTROPOLOGÍA FILOSÓFICA
HU1805601,EVALUACIÓN DE LOS APRENDIZAJES EN EDUCACIÓN INICIAL,5,TRUE,3,2,2,PLANIFICACIÓN CURRICULAR EN EL JARDÍN DE INFANTES
HU1805702,EXPRESIÓN MUSICAL EN LA INFANCIA,5,TRUE,3,2,2,DIDÁCTICA DE LOS LENGUAJES DEL ARTE EN LA INFANCIA
HU1805701,INTERACCIONES Y DESARROLLO SOCIO EMOCIONAL,5,TRUE,3,2,2,
JUF305601,LEGISLACIÓN Y ORGANIZACIÓN EDUCATIVA,5,TRUE,3,2,2,
TE1806701,DIDÁCTICA DE LA EDUCACIÓN RELIGIOSA EN LOS NIÑOS,6,TRUE,3,2,2,
HU1806702,ESTRATEGIAS PARA POTENCIAR EL LENGUAJE Y COMUNICACIÓN DE NIÑOS CON TND Y NEE,6,FALSE,2,1,2,
TE0006501,FE Y CULTURA,6,TRUE,3,3,0,ÉTICA
TEF306601,FILOSOFÍA DE LA EDUCACIÓN,6,TRUE,3,3,0,
HUF306601,INTRODUCCIÓN A LA INNOVACIÓN EDUCATIVA,6,TRUE,3,2,2,DIAGNÓSTICO EDUCATIVO
HU1806601,PLANIFICACIÓN CURRICULAR EN CUNA,6,TRUE,3,2,2,
HU1806701,PRÁCTICA I,6,TRUE,4,2,4,EVALUACIÓN DE LOS APRENDIZAJES EN EDUCACIÓN INICIAL
SA1806701,SEGURIDAD Y PRIMEROS AUXILIOS EN EDUCACIÓN INICIAL,6,FALSE,2,1,2,
HU1807704,DRAMATIZACIÓN INFANTIL,7,FALSE,2,1,2,
HU1807703,EXPRESIÓN GRÁFICO PLÁSTICA Y GRAFOMOTRICIDAD,7,TRUE,3,2,2,
HU1807705,LENGUAJE DE SEÑAS,7,FALSE,2,1,2,
HUF307601,LIDERAZGO Y GESTIÓN ESCOLAR,7,TRUE,3,2,2,LEGISLACIÓN Y ORGANIZACIÓN EDUCATIVA
HUF307602,METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA,7,TRUE,4,3,2,INTRODUCCIÓN A LA INNOVACIÓN EDUCATIVA
TE0007501,MORAL CATÓLICA,7,TRUE,3,3,0,FE Y CULTURA
HU1807701,PRÁCTICA II,7,TRUE,4,2,4,PRÁCTICA I
HU1807702,RECURSOS INFORMÁTICOS PARA EDUCACIÓN INICIAL,7,TRUE,3,2,2,
TE0008501,DOCTRINA SOCIAL DE LA IGLESIA,8,TRUE,3,3,0,MORAL CATÓLICA
HU1808601,EDUCACIÓN INCLUSIVA,8,TRUE,4,3,2,PEDAGOGÍA DE LA DIVERSIDAD
INF308601,ESTADÍSTICA PARA LA INVESTIGACIÓN CIENTÍFICA,8,TRUE,3,2,2,METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA
SA1808702,ESTRATEGIAS CONDUCTUALES PARA NIÑOS CON TND Y NEE,8,FALSE,2,1,2,
HUF308601,INVESTIGACIÓN I,8,TRUE,4,3,2,METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA
SA1808701,NUTRICIÓN E HIGIENE EN LA INFANCIA,8,FALSE,2,1,2,
HU1808701,PRÁCTICA III,8,TRUE,6,2,8,PRÁCTICA II
HUF309601,INVESTIGACIÓN II,9,TRUE,3,2,2,INVESTIGACIÓN I
HU1809701,PRÁCTICA IV,9,TRUE,7,2,10,PRÁCTICA III
HU1809702,PROGRAMAS Y ESTRATEGIAS CON PADRES DE FAMILIA Y COMUNIDAD,9,TRUE,4,2,4,
HU1809704,PROGRAMAS Y SERVICIOS EDUCATIVOS PARA EDUCACIÓN INICIAL,9,TRUE,3,2,2,
