CODIGO,NOMBRE,CICLO,OBLIGATORIO,CREDITOS,H_TEORICAS,H_PRACTICAS,PREREQUISITO
SA1601601,BASES BIOLÓGICAS Y QUÍMICAS EN ENFERMERÍA,1,OBLIGATORIO,4,3,2,
HU0001502,COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS I,1,OBLIGATORIO,4,3,2,
IN0001501,DESARROLLO DE COMPETENCIAS DIGITALES,1,OBLIGATORIO,2,1,2,
HU0001501,ESTRATEGIAS PARA EL APRENDIZAJE AUTÓNOMO,1,OBLIGATORIO,3,3,0,
SA1601701,FUNDAMENTOS PARA EL CUIDADO DE ENFERMERÍA I,1,OBLIGATORIO,5,3,4,
INF501501,MATEMÁTICA,1,OBLIGATORIO,4,3,2,
SA1602601,BASES BIOQUÍMICAS Y BIOFÍSICAS EN ENFERMERÍA,2,OBLIGATORIO,4,3,2,BASES BIOLÓGICAS Y QUÍMICAS EN ENFERMERÍA
HU0002502,CIUDADANÍA E INTEGRACIÓN DE LA PERSONA CON DISCAPACIDAD,2,OBLIGATORIO,2,2,0,
HU0002501,COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS II,2,OBLIGATORIO,4,3,2,COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS I
SA0002501,ECOLOGÍA Y DESARROLLO SOSTENIBLE,2,OBLIGATORIO,3,2,2,
SA1602602,FUNDAMENTOS DE ANATOMÍA Y FISIOLOGÍA EN ENFERMERÍA I,2,OBLIGATORIO,4,3,2,BASES BIOLÓGICAS Y QUÍMICAS EN ENFERMERÍA
SA1602701,FUNDAMENTOS PARA EL CUIDADO DE ENFERMERÍA II,2,OBLIGATORIO,5,3,4,FUNDAMENTOS PARA EL CUIDADO DE ENFERMERÍA I
SA1603702,COMUNICACIÓN TERAPÉUTICA EN ENFERMERÍA I,3,OBLIGATORIO,3,2,2,FUNDAMENTOS PARA EL CUIDADO DE ENFERMERÍA II
SA1603701,CUIDADOS DE ENFERMERÍA EN LA FAMILIA Y COMUNIDAD I,3,OBLIGATORIO,5,3,4,FUNDAMENTOS PARA EL CUIDADO DE ENFERMERÍA II
SA1603602,FARMACOLOGÍA EN ENFERMERÍA,3,OBLIGATORIO,4,3,2,BASES BIOQUÍMICAS Y BIOFÍSICAS EN ENFERMERÍA
TE0003501,FILOSOFÍA,3,OBLIGATORIO,3,3,0,
SA1603601,FUNDAMENTOS DE ANATOMÍA Y FISIOLOGÍA EN ENFERMERÍA II,3,OBLIGATORIO,4,3,2,FUNDAMENTOS DE ANATOMÍA Y FISIOLOGÍA EN ENFERMERÍA I
SA1603603,INTERCULTURALIDAD EN SALUD Y ENFERMERÍA,3,OBLIGATORIO,3,2,2,CIUDADANÍA E INTEGRACIÓN DE LA PERSONA CON DISCAPACIDAD
TE0004501,ANTROPOLOGÍA FILOSÓFICA,4,OBLIGATORIO,3,3,0,FILOSOFÍA
SA1604603,BASES DE LA MICROBIOLOGÍA Y PARASITOLOGÍA PARA ENFERMERÍA,4,OBLIGATORIO,4,3,2,FARMACOLOGÍA EN ENFERMERÍA
SA1604702,COMUNICACIÓN TERAPÉUTICA EN ENFERMERÍA II,4,OBLIGATORIO,3,2,2,COMUNICACIÓN TERAPÉUTICA EN ENFERMERÍA I
SA1604701,CUIDADOS DE ENFERMERÍA EN LA FAMILIA Y COMUNIDAD II,4,OBLIGATORIO,5,3,4,CUIDADOS DE ENFERMERÍA EN LA FAMILIA Y COMUNIDAD I
SA1604602,ENFOQUE PSICOSOCIAL DE LA SALUD Y ENFERMERÍA,4,OBLIGATORIO,2,2,0,INTERCULTURALIDAD EN SALUD Y ENFERMERÍA
SA1604601,FARMACOTERAPIA EN ENFERMERÍA I,4,OBLIGATORIO,4,2,4,FARMACOLOGÍA EN ENFERMERÍA
SA1605701,CUIDADO DE ENFERMERÍA AL ADULTO Y ADULTO MAYOR I,5,OBLIGATORIO,8,2,12,CUIDADOS DE ENFERMERÍA EN LA FAMILIA Y COMUNIDAD II
TE0005501,ÉTICA,5,OBLIGATORIO,3,3,0,ANTROPOLOGÍA FILOSÓFICA
SA1605601,FARMACOTERAPIA EN ENFERMERÍA II,5,OBLIGATORIO,4,2,4,FARMACOTERAPIA EN ENFERMERÍA I
SA1605704,FUNDAMENTOS DE LOS CUIDADOS DE ENFERMERÍA EN LA SALUD DEL ESCOLAR Y ADOLESCENTE I,5,ELECTIVO,3,2,2,CUIDADOS DE ENFERMERÍA EN LA FAMILIA Y COMUNIDAD II
SA1605703,FUNDAMENTOS DE PROYECTOS DE INVERSIÓN Y DESARROLLO SOCIAL EN SALUD Y ENFERMERÍA,5,ELECTIVO,3,2,2,CUIDADOS DE ENFERMERÍA EN LA FAMILIA Y COMUNIDAD II
SA1605705,FUNDAMENTOS DEL CUIDADO EN ENFERMERÍA GERONTOLÓGICA Y ENVEJECIMIENTO SALUDABLE I,5,ELECTIVO,3,2,2,CUIDADOS DE ENFERMERÍA EN LA FAMILIA Y COMUNIDAD II
SA1605702,LIDERAZGO EN ENFERMERÍA,5,OBLIGATORIO,2,1,2,COMUNICACIÓN TERAPÉUTICA EN ENFERMERÍA II
SA1605602,METODOLOGÍA DE INVESTIGACIÓN EN ENFERMERÍA I,5,OBLIGATORIO,3,2,2,CUIDADOS DE ENFERMERÍA EN LA FAMILIA Y COMUNIDAD II
SA1606601,BIOÉTICA Y ASPECTOS LEGALES DE LA SALUD Y ENFERMERÍA,6,OBLIGATORIO,3,3,0,ENFOQUE PSICOSOCIAL DE LA SALUD Y ENFERMERÍA
SA1606702,COACHING EN ENFERMERÍA,6,OBLIGATORIO,2,1,2,LIDERAZGO EN ENFERMERÍA
SA1606703,CONSTRUCCIÓN DEL PROYECTO DE INVERSIÓN Y DESARROLLO SOCIAL EN SALUD Y ENFERMERÍA,6,ELECTIVO,3,2,2,FUNDAMENTOS DE PROYECTOS DE INVERSIÓN Y DESARROLLO SOCIAL EN SALUD Y ENFERMERÍA
SA1606701,CUIDADO DE ENFERMERÍA AL ADULTO Y ADULTO MAYOR II,6,OBLIGATORIO,8,2,12,CUIDADO DE ENFERMERÍA AL ADULTO Y ADULTO MAYOR I
TE0006501,FE Y CULTURA,6,OBLIGATORIO,3,3,0,ÉTICA
SA1606704,FUNDAMENTOS DE LOS CUIDADOS DE ENFERMERÍA EN LA SALUD DEL ESCOLAR Y ADOLESCENTE II,6,ELECTIVO,3,2,2,FUNDAMENTOS DE LOS CUIDADOS DE ENFERMERÍA EN LA SALUD DEL ESCOLAR Y ADOLESCENTE I
SA1606705,FUNDAMENTOS DEL CUIDADO EN ENFERMERÍA GERONTOLÓGICA Y ENVEJECIMIENTO SALUDABLE II,6,ELECTIVO,3,2,2,FUNDAMENTOS DEL CUIDADO EN ENFERMERÍA GERONTOLÓGICA Y ENVEJECIMIENTO SALUDABLE I
SA1606602,METODOLOGÍA DE INVESTIGACIÓN EN ENFERMERÍA II,6,OBLIGATORIO,3,2,2,METODOLOGÍA DE INVESTIGACIÓN EN ENFERMERÍA I
SA1607701,CUIDADOS AL NIÑO Y ADOLESCENTE I,7,OBLIGATORIO,8,2,12,CUIDADO DE ENFERMERÍA AL ADULTO Y ADULTO MAYOR II
SA1607601,DEONTOLOGÍA EN ENFERMERÍA,7,OBLIGATORIO,2,2,0,BIOÉTICA Y ASPECTOS LEGALES DE LA SALUD Y ENFERMERÍA
SA1607703,EJECUCIÓN DE PROYECTOS DE INVERSIÓN Y DESARROLLO SOCIAL,7,ELECTIVO,3,2,2,CONSTRUCCIÓN DEL PROYECTO DE INVERSIÓN Y DESARROLLO SOCIAL EN SALUD Y ENFERMERÍA
SA1607702,GESTIÓN DE LOS SERVICIOS DE ENFERMERÍA I,7,OBLIGATORIO,4,2,4,COACHING EN ENFERMERÍA
SA1607704,LA ENFERMERÍA EN LA PROMOCIÓN DE LA SALUD DEL NIÑO Y ADOLESCENTE EN LA ESCUELA I,7,ELECTIVO,3,2,2,FUNDAMENTOS DE LOS CUIDADOS DE ENFERMERÍA EN LA SALUD DEL ESCOLAR Y ADOLESCENTE II
SA1607705,LA ENFERMERÍA Y LA PROMOCIÓN DE LA SALUD EN LA VEJEZ,7,ELECTIVO,3,2,2,FUNDAMENTOS DEL CUIDADO EN ENFERMERÍA GERONTOLÓGICA Y ENVEJECIMIENTO SALUDABLE II
SA1607602,METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA,7,OBLIGATORIO,4,3,2,METODOLOGÍA DE INVESTIGACIÓN EN ENFERMERÍA II
TE0007501,MORAL CATÓLICA,7,OBLIGATORIO,3,3,0,FE Y CULTURA
SA1608701,CUIDADOS AL NIÑO Y ADOLESCENTE II,8,OBLIGATORIO,8,2,12,CUIDADOS AL NIÑO Y ADOLESCENTE I
SA1608705,CUIDADOS DE ENFERMERÍA Y CRONICIDAD EN LA VEJEZ,8,ELECTIVO,3,2,2,LA ENFERMERÍA Y LA PROMOCIÓN DE LA SALUD EN LA VEJEZ
TE0008501,DOCTRINA SOCIAL DE LA IGLESIA,8,OBLIGATORIO,3,3,0,MORAL CATÓLICA
SA1608703,EVALUACIÓN DE LA SOSTENIBILIDAD E IMPACTO DEL PROYECTO DE INVERSIÓN Y DESARROLLO SOCIAL,8,ELECTIVO,3,2,2,EJECUCIÓN DE PROYECTOS DE INVERSIÓN Y DESARROLLO SOCIAL
SA1608702,GESTIÓN DE LOS SERVICIOS DE ENFERMERÍA II,8,OBLIGATORIO,4,2,4,GESTIÓN DE LOS SERVICIOS DE ENFERMERÍA I
SA1608601,INVESTIGACIÓN I,8,OBLIGATORIO,4,3,2,METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA
SA1608704,LA ENFERMERÍA EN LA PROMOCIÓN DE LA SALUD DEL NIÑO Y ADOLESCENTE EN LA ESCUELA II,8,ELECTIVO,3,2,2,LA ENFERMERÍA EN LA PROMOCIÓN DE LA SALUD DEL NIÑO Y ADOLESCENTE EN LA ESCUELA I
SA1609701,INTERNADO I,9,OBLIGATORIO,17,0,34,
SA1609601,INVESTIGACIÓN II,9,OBLIGATORIO,3,2,2,INVESTIGACIÓN I
SA1610701,INTERNADO II,10,OBLIGATORIO,17,0,34,
SA1610601,TRABAJO DE INVESTIGACIÓN,10,OBLIGATORIO,3,2,2,INVESTIGACIÓN II
