CODIGO,NOMBRE,CICLO,OBLIGATORIO,CREDITOS,H_TEORICAS,H_PRACTICAS,PREREQUISITO
HU0001502,COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS I,1,TRUE,4,3,2,
IN0001501,DESARROLLO DE COMPETENCIAS DIGITALES,1,TRUE,2,1,2,
HU0001501,ESTRATEGIAS PARA EL APRENDIZAJE AUTÓNOMO,1,TRUE,3,3,0,
SA1901601,INTRODUCCIÓN A LA PSICOLOGÍA,1,TRUE,3,2,2,
INF501501,MATEMÁTICA,1,TRUE,4,3,2,
SA1901602,PSICOLOGÍA DEL DESARROLLO HUMANO I,1,TRUE,4,3,2,
HU0002502,CIUDADANÍA E INTEGRACIÓN DE LA PERSONA CON DISCAPACIDAD,2,TRUE,2,2,0,
HU0002501,COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS II,2,TRUE,4,3,2,COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS I
SA0002501,ECOLOGÍA Y DESARROLLO SOSTENIBLE,2,TRUE,3,2,2,
SA1902602,PROCESOS COGNITIVOS,2,TRUE,4,3,2,PSICOLOGÍA DEL DESARROLLO HUMANO I
SA1902601,PSICOBIOLOGÍA HUMANA,2,TRUE,4,3,2,INTRODUCCIÓN A LA PSICOLOGÍA
SA1902603,PSICOLOGÍA DEL DESARROLLO HUMANO II,2,TRUE,3,2,2,PSICOLOGÍA DEL DESARROLLO HUMANO I
IN1903601,ESTADÍSTICA APLICADA A LA PSICOLOGÍA,3,TRUE,3,2,2,MATEMÁTICA-DESARROLLO DE COMPETENCIAS DIGITALES
TE0003501,FILOSOFÍA,3,TRUE,3,3,0,
SA1903602,NEUROCIENCIA COGNITIVA,3,TRUE,4,3,2,PSICOBIOLOGÍA HUMANA-PROCESOS COGNITIVOS
SA1903601,PROCESOS AFECTIVOS Y MOTIVACIONALES,3,TRUE,3,2,2,PROCESOS COGNITIVOS
SA1903604,PSICOLOGÍA DE LA PERSONALIDAD,3,TRUE,3,3,0,PSICOLOGÍA DEL DESARROLLO HUMANO II
SA1903603,PSICOLOGÍA DEL APRENDIZAJE,3,TRUE,3,2,2,PROCESOS COGNITIVOS
SA1903701,TÉCNICAS DE PARTICIPACIÓN Y DESARROLLO GRUPAL,3,TRUE,3,1,4,PSICOLOGÍA DEL DESARROLLO HUMANO II
TE0004501,ANTROPOLOGÍA FILOSÓFICA,4,TRUE,3,3,0,FILOSOFÍA
SA1904702,CONSTRUCCIÓN DE INSTRUMENTOS PSICOLÓGICOS,4,TRUE,4,3,2,ESTADÍSTICA APLICADA A LA PSICOLOGÍA
SA1904601,INTRODUCCIÓN A LA PSICOPATOLOGÍA,4,TRUE,3,2,2,PSICOLOGÍA DE LA PERSONALIDAD-PROCESOS AFECTIVOS Y MOTIVACIONALES
SA1904602,PSICOLOGÍA EXPERIMENTAL,4,TRUE,3,2,2,PSICOLOGÍA DEL APRENDIZAJE-NEUROCIENCIA COGNITIVA
SA1904701,PSICOLOGÍA SOCIAL COMUNITARIA,4,TRUE,3,2,2,TÉCNICAS DE PARTICIPACIÓN Y DESARROLLO GRUPAL
SA1904703,TÉCNICAS DE OBSERVACIÓN Y ENTREVISTA,4,TRUE,4,3,2,PSICOLOGÍA DE LA PERSONALIDAD
SA1905601,EPIDEMIOLOGÍA EN SALUD MENTAL,5,TRUE,4,3,2,PSICOLOGÍA EXPERIMENTAL
TE0005501,ÉTICA,5,TRUE,3,3,0,ANTROPOLOGÍA FILOSÓFICA
SA1905702,EVALUACIÓN PROYECTIVA,5,TRUE,4,3,2,TÉCNICAS DE OBSERVACIÓN Y ENTREVISTA
SA1905701,EVALUACIÓN PSICOMÉTRICA,5,TRUE,4,3,2,TÉCNICAS DE OBSERVACIÓN Y ENTREVISTA
SA1905703,PSICOPATOLOGÍA,5,TRUE,3,2,2,TÉCNICAS DE OBSERVACIÓN Y ENTREVISTA-INTRODUCCIÓN A LA PSICOPATOLOGÍA
SA1905704,TALLER DE PROGRAMAS INFORMÁTICOS PARA PSICOLOGÍA,5,TRUE,2,1,2,CONSTRUCCIÓN DE INSTRUMENTOS PSICOLÓGICOS-PSICOLOGÍA SOCIAL COMUNITARIA
SA1906706,ABORDAJE Y ESTUDIO DE LA VIOLENCIA FAMILIAR Y FEMINICIDIO,6,FALSE,3,1,4,EVALUACIÓN PROYECTIVA-EVALUACIÓN PSICOMÉTRICA-PSICOPATOLOGÍA-EPIDEMIOLOGÍA EN SALUD MENTAL
SA1906601,BIOÉTICA Y DEONTOLOGÍA,6,TRUE,2,2,0,ÉTICA
SA1906704,DIAGNÓSTICO PSICOLÓGICO,6,TRUE,3,2,2,EVALUACIÓN PSICOMÉTRICA-EVALUACIÓN PROYECTIVA-PSICOPATOLOGÍA
TE0006501,FE Y CULTURA,6,FALSE,3,3,0,ÉTICA
SA1906705,PREVENCIÓN EN CONDUCTAS DE RIESGO Y CONVIVENCIA ESCOLAR,6,TRUE,3,1,4,EVALUACIÓN PSICOMÉTRICA-EVALUACIÓN PROYECTIVA-PSICOPATOLOGÍA-EPIDEMIOLOGÍA EN SALUD MENTAL
SA1906701,PSICOLOGÍA EDUCATIVA,6,TRUE,4,3,2,EVALUACIÓN PSICOMÉTRICA-EVALUACIÓN PROYECTIVA
SA1906702,PSICOLOGÍA ORGANIZACIONAL,6,TRUE,4,3,2,EVALUACIÓN PSICOMÉTRICA-EVALUACIÓN PROYECTIVA
SA1906703,PSICOLOGÍA POSITIVA,6,TRUE,2,1,2,EPIDEMIOLOGÍA EN SALUD MENTAL
SA1907703,ABORDAJE DE NECESIDADES EDUCATIVAS ESPECIALES,7,TRUE,3,2,2,PSICOLOGÍA EDUCATIVA-DIAGNÓSTICO PSICOLÓGICO
SA1907702,DISEÑO DE SERVICIOS PSICOLÓGICOS I,7,TRUE,2,1,2,PSICOLOGÍA EDUCATIVA-PSICOLOGÍA ORGANIZACIONAL
SA1907704,INTERVENCIÓN EN TERAPIA COGNITIVO CONDUCTUAL I,7,TRUE,4,3,2,DIAGNÓSTICO PSICOLÓGICO-BIOÉTICA Y DEONTOLOGÍA
SA1907705,INTERVENCIÓN PSICOLÓGICA EN EMERGENCIA Y DESASTRE,7,TRUE,3,0,2,PSICOLOGÍA POSITIVA
SA1907601,METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA,7,TRUE,4,0,2,TALLER DE PROGRAMAS INFORMÁTICOS PARA PSICOLOGÍA
TE0007501,MORAL CATÓLICA,7,TRUE,3,3,0,FE Y CULTURA
SA1907701,PSICOLOGÍA CLÍNICA Y DE LA SALUD,7,TRUE,3,1,4,DIAGNÓSTICO PSICOLÓGICO-BIOÉTICA Y DEONTOLOGÍA
TE0008501,DOCTRINA SOCIAL DE LA IGLESIA,8,TRUE,3,3,0,MORAL CATÓLICA
SA1908706,EVALUACIÓN DEL DESEMPEÑO CAPACITACIÓN Y DESARROLLO DEL PERSONAL,8,FALSE,3,1,4,ABORDAJE Y ESTUDIO DE LA VIOLENCIA FAMILIAR Y FEMINICIDIO-PREVENCIÓN EN CONDUCTAS DE RIESGO Y CONVIVENCIA ESCOLAR
SA1908705,INTERVENCIÓN EN ADICCIONES,8,FALSE,3,1,4,ABORDAJE Y ESTUDIO DE LA VIOLENCIA FAMILIAR Y FEMINICIDIO-PREVENCIÓN EN CONDUCTAS DE RIESGO Y CONVIVENCIA ESCOLAR
